id,difficulty,required_player_level
1,6,66
2,6,72
3,5,53
4,2,24
5,9,99
6,7,70
7,3,30
8,1,10
9,2,20
10,8,80
11,8,72
12,4,48
13,5,60
14,5,45
15,2,24
16,10,90
17,4,32
18,9,81
19,4,32
20,2,22
21,6,66
22,2,18
23,1,12
24,3,33
25,8,88
26,4,40
27,6,60
28,1,8
29,10,90
30,9,72
31,3,33
32,3,24
33,7,77
34,3,30
35,1,8
36,5,60
37,10,80
38,6,60
39,8,96
40,9,99
41,3,36
42,8,80
43,4,32
44,6,54
45,8,80
46,3,24
47,6,60
48,10,90
49,3,36
50,7,77
51,9,90
52,2,22
53,2,18
54,3,33
55,6,54
56,1,10
57,7,63
58,8,80
59,6,60
60,10,120
61,1,10
62,6,54
63,1,8
64,8,80
65,3,33
66,9,90
67,2,20
68,6,72
69,4,36
70,3,33
71,3,33
72,10,100
73,7,84
74,8,96
75,4,36
76,10,80
77,9,99
78,9,90
79,2,24
80,2,16
81,9,108
82,4,48
83,9,81
84,3,30
85,9,99
86,2,18
87,10,110
88,2,24
89,8,64
90,8,72
91,9,99
92,8,96
93,1,12
94,8,80
95,1,11
96,5,40
97,4,48
98,2,16
99,7,70
100,2,24
