id,ja,export_begin_date,export_end_date
1,始まりの平原,,
2,深き森,,
3,灼熱の砂漠,,
4,氷の洞窟,,
5,霧の沼地,,
6,古代遺跡,,
7,天空の城,,
8,海底神殿,,
9,溶岩地帯,,
10,闇の迷宮,,
11,幻の花園,,
12,竜の巣,,
13,魔王の城,,
14,聖なる山,,
15,呪われた村,,
16,時の廃墟,,
17,黄金の谷,,
18,星降る丘,,
19,嵐の海岸,,
20,虚空の間,,
21,始まりの平原第2層,,
22,深き森第2層,,
23,灼熱の砂漠第2層,,
24,氷の洞窟第2層,,
25,霧の沼地第2層,,
26,古代遺跡第2層,,
27,天空の城第2層,,
28,海底神殿第2層,,
29,溶岩地帯第2層,,
30,闇の迷宮第2層,,
31,幻の花園第2層,,
32,竜の巣第2層,,
33,魔王の城第2層,,
34,聖なる山第2層,,
35,呪われた村第2層,,
36,時の廃墟第2層,,
37,黄金の谷第2層,,
38,星降る丘第2層,,
39,嵐の海岸第2層,,
40,虚空の間第2層,,
41,始まりの平原第3層,,
42,深き森第3層,,
43,灼熱の砂漠第3層,,
44,氷の洞窟第3層,,
45,霧の沼地第3層,,
46,古代遺跡第3層,,
47,天空の城第3層,,
48,海底神殿第3層,,
49,溶岩地帯第3層,,
50,闇の迷宮第3層,,
51,幻の花園第3層,,
52,竜の巣第3層,,
53,魔王の城第3層,,
54,聖なる山第3層,,
55,呪われた村第3層,,
56,時の廃墟第3層,,
57,黄金の谷第3層,,
58,星降る丘第3層,,
59,嵐の海岸第3層,,
60,虚空の間第3層,,
61,始まりの平原第4層,,
62,深き森第4層,,
63,灼熱の砂漠第4層,,
64,氷の洞窟第4層,,
65,霧の沼地第4層,,
66,古代遺跡第4層,,
67,天空の城第4層,,
68,海底神殿第4層,,
69,溶岩地帯第4層,,
70,闇の迷宮第4層,,
71,幻の花園第4層,,
72,竜の巣第4層,,
73,魔王の城第4層,,
74,聖なる山第4層,,
75,呪われた村第4層,,
76,時の廃墟第4層,,
77,黄金の谷第4層,,
78,星降る丘第4層,,
79,嵐の海岸第4層,,
80,虚空の間第4層,,
81,始まりの平原第5層,,
82,深き森第5層,,
83,灼熱の砂漠第5層,,
84,氷の洞窟第5層,,
85,霧の沼地第5層,,
86,古代遺跡第5層,,
87,天空の城第5層,,
88,海底神殿第5層,,
89,溶岩地帯第5層,,
90,闇の迷宮第5層,,
91,幻の花園第5層,,
92,竜の巣第5層,,
93,魔王の城第5層,,
94,聖なる山第5層,,
95,呪われた村第5層,,
96,時の廃墟第5層,,
97,黄金の谷第5層,,
98,星降る丘第5層,,
99,嵐の海岸第5層,,
100,虚空の間第5層,,
