id,defence,hp_bonus,skill_id,selling_price
1,77,117,63,3590
2,61,460,,1781
3,99,183,11,8188
4,9,478,45,1792
5,59,434,90,6310
6,78,383,,6512
7,38,194,34,5893
8,144,272,26,5454
9,44,107,42,5129
10,86,53,19,8436
11,54,30,,7089
12,16,448,45,7812
13,4,460,,9111
14,68,99,,201
15,98,298,,7639
16,33,466,47,3454
17,104,120,59,559
18,135,54,43,1108
19,123,261,,5642
20,143,220,68,8668
21,30,355,42,5336
22,16,411,74,8981
23,5,348,26,2621
24,68,97,53,6966
25,69,108,59,4627
26,133,256,,4990
27,89,308,25,4372
28,120,405,,9874
29,47,451,90,3590
30,37,335,,1846
31,34,273,,3270
32,144,437,,1652
33,59,13,28,3795
34,98,86,,7311
35,43,308,51,1249
36,58,260,,3470
37,133,473,,9278
38,127,439,29,9450
39,150,358,,4398
40,132,459,6,8676
41,96,130,11,9665
42,148,196,18,1050
43,27,172,,7805
44,150,43,34,3306
45,109,30,,3760
46,63,95,,4544
47,48,189,9,412
48,114,185,,9065
49,64,103,98,3774
50,71,208,,4655
51,147,496,98,3819
52,144,210,76,8927
53,129,113,91,4316
54,113,24,17,1976
55,49,466,81,8258
56,112,63,,8979
57,112,263,,7945
58,27,431,44,2391
59,16,29,31,7258
60,137,450,,3081
61,34,440,,6495
62,21,447,65,3984
63,125,159,19,2714
64,62,318,62,4519
65,132,353,80,1284
66,150,313,48,3072
67,123,49,74,6987
68,76,356,,2027
69,135,27,39,8929
70,126,267,2,9048
71,63,153,,6960
72,4,379,,1640
73,129,339,5,3285
74,126,21,,8415
75,120,247,10,882
76,84,186,,7746
77,48,460,94,1655
78,80,339,5,4067
79,67,360,,7580
80,13,248,28,7561
81,28,330,,993
82,60,245,54,3467
83,98,27,58,1715
84,57,412,76,7455
85,111,35,,3669
86,67,349,,2868
87,93,78,,6720
88,67,54,43,2495
89,149,115,,7627
90,3,230,14,2319
91,11,99,,5866
92,50,0,,4090
93,101,57,73,1022
94,146,145,75,159
95,11,496,,1982
96,112,109,28,6690
97,59,362,,1924
98,91,71,,4806
99,45,246,72,8085
100,126,193,,5552
