id,ja
1,金の法衣
2,神聖な外套
3,鋼の法衣
4,影の兜
5,影の脚甲
6,鉄の守護鎧
7,影の大盾
8,古代の天鎧
9,金の天鎧
10,竜鱗の守護鎧
11,氷の胸当て
12,氷のローブ
13,聖騎士の鎧
14,光の天鎧
15,影の守護鎧
16,聖騎士の篭手
17,光の鎧
18,神聖な兜
19,魔法の脚甲
20,古代のマント
21,竜鱗の脚甲
22,聖騎士の鎧
23,金の守護鎧
24,鉄の重鎧
25,金の脚甲
26,魔法の篭手
27,金の胸当て
28,古代の鎧
29,呪われたローブ
30,鉄の盾
31,銀の法衣
32,天使の守護鎧
33,天使の胸当て
34,銀の大盾
35,魔法の革鎧
36,光の大盾
37,天使の兜
38,氷の大盾
39,呪われた革鎧
40,聖騎士の守護鎧
41,炎の天鎧
42,鉄の天鎧
43,鉄の脚甲
44,聖騎士の革鎧
45,聖騎士の大盾
46,魔法のマント
47,古代の外套
48,鋼の胸当て
49,神聖なローブ
50,神聖な革鎧
51,神聖な守護鎧
52,聖騎士の守護鎧
53,天使の大盾
54,銀の鎧
55,天使のマント
56,神聖な革鎧
57,鋼の大盾
58,炎の胸当て
59,神聖な大盾
60,魔法の胸当て
61,古代の脚甲
62,竜鱗の外套
63,氷のマント
64,聖騎士の外套
65,竜鱗の革鎧
66,金の守護鎧
67,神聖なマント
68,炎のマント
69,光の大盾
70,鋼の盾
71,鉄の外套
72,天使の兜
73,魔法の外套
74,影の天鎧
75,影の守護鎧
76,神聖な篭手
77,魔法の鎧
78,天使の守護鎧
79,天使の大盾
80,呪われたマント
81,魔法の篭手
82,鋼のローブ
83,氷の重鎧
84,神聖な法衣
85,魔法の大盾
86,竜鱗の法衣
87,光の重鎧
88,呪われた兜
89,古代の重鎧
90,神聖な守護鎧
91,魔法の鎧
92,天使のマント
93,影の篭手
94,鉄の兜
95,金の盾
96,呪われた兜
97,炎の篭手
98,神聖なマント
99,魔法の守護鎧
100,光の法衣
