id,recover_stamina,recover_hp,attack,defence,speed,skill_id,selling_price
1,3,7,8,6,10,33,627
2,1,14,4,11,7,11,3079
3,8,14,18,15,7,99,4631
4,5,11,12,13,2,35,4401
5,4,3,2,4,5,42,889
6,5,10,20,10,4,28,3673
7,8,17,1,10,12,34,685
8,7,4,1,5,8,98,3667
9,7,11,17,4,10,89,4429
10,2,10,13,13,4,9,4891
11,5,15,16,6,10,11,212
12,1,19,3,11,3,53,1625
13,7,19,19,1,1,16,2674
14,4,7,4,1,7,37,1550
15,3,10,6,12,7,14,2587
16,3,14,13,11,2,10,2253
17,9,10,9,14,12,21,2295
18,2,2,20,14,2,33,3928
19,7,5,10,10,8,28,4159
20,5,15,9,9,5,82,1560
21,8,10,5,4,6,66,1104
22,9,8,20,6,10,67,628
23,4,18,14,13,3,74,52
24,6,13,19,13,2,2,3507
25,2,14,15,2,2,1,1648
26,2,8,10,4,2,19,2162
27,5,6,18,11,11,25,779
28,10,4,11,1,14,28,2489
29,7,11,17,1,8,84,2098
30,8,18,20,6,4,45,1120
31,1,11,18,11,15,30,1759
32,9,20,14,12,8,21,4995
33,6,18,6,12,9,69,2562
34,1,1,20,10,6,20,1101
35,7,2,3,9,6,87,4621
36,5,12,6,9,6,89,873
37,9,10,2,11,15,44,3520
38,4,6,2,3,11,12,3939
39,7,14,18,9,7,48,4900
40,7,9,4,15,4,100,2931
41,3,3,9,11,2,1,3062
42,7,11,19,4,10,16,2420
43,5,14,5,3,11,17,2402
44,1,18,17,9,5,19,2072
45,7,17,18,3,5,39,3607
46,7,3,12,1,15,63,1921
47,8,3,16,15,5,31,4207
48,1,5,15,13,13,9,2958
49,9,5,12,13,12,69,379
50,2,1,7,12,12,2,3744
51,4,17,15,8,11,92,75
52,4,2,20,4,3,82,3584
53,3,5,18,8,5,78,220
54,1,10,2,11,1,88,2091
55,10,13,12,13,8,98,1165
56,5,19,12,12,15,20,311
57,6,19,12,9,14,26,3448
58,5,6,17,5,8,11,3237
59,7,9,20,5,8,1,4611
60,3,1,9,4,3,87,195
61,3,17,8,5,5,42,3272
62,6,13,6,15,5,48,1409
63,1,5,18,8,8,36,3993
64,6,6,11,10,3,89,445
65,9,13,18,11,10,20,3876
66,4,17,4,13,12,51,2754
67,7,18,11,6,4,91,577
68,2,8,8,13,7,21,2052
69,7,8,11,2,3,8,512
70,2,16,13,4,12,34,3635
71,6,17,1,3,11,72,3561
72,10,14,11,5,12,22,1224
73,8,19,12,12,14,18,4010
74,8,15,6,8,11,67,4041
75,10,20,10,9,8,79,3850
76,2,16,2,15,15,87,3773
77,4,4,12,8,1,49,3621
78,6,2,7,3,15,16,4537
79,7,18,1,2,3,76,1596
80,3,8,9,1,6,91,542
81,1,7,2,4,4,78,1742
82,4,17,1,3,8,34,3951
83,6,12,12,15,15,44,2047
84,5,1,15,2,3,75,386
85,4,13,10,13,14,48,2836
86,3,16,11,11,5,83,3982
87,8,1,16,1,5,69,788
88,6,4,1,7,12,48,78
89,3,12,12,6,10,44,2258
90,6,9,13,3,10,30,2579
91,9,3,3,11,8,10,718
92,4,4,12,7,14,42,1859
93,4,2,5,9,5,72,3298
94,3,1,11,6,4,49,2250
95,8,6,6,15,12,75,237
96,1,5,2,5,6,61,1237
97,1,5,10,11,6,75,2170
98,4,11,8,1,4,33,3585
99,2,20,3,13,9,23,58
100,10,7,11,8,7,47,1194
