id,level,hp,attack,defence,speed,exp,gold,export_begin_date,export_end_date
1,41,954,337,127,18,246,410,,
9,45,1814,321,282,32,315,405,,
3,36,980,224,190,36,180,144,,
7,46,1024,376,186,30,276,368,,
4,45,1516,230,148,44,270,135,,
8,18,662,96,78,27,270,108,,
2,6,265,19,16,30,78,12,,
10,25,750,218,86,42,125,125,,
11,3,125,18,24,73,30,15,,
5,25,607,145,113,6,300,250,,
13,35,1027,229,181,29,245,350,,
12,42,1505,351,131,18,336,420,,
6,8,271,66,63,47,112,40,,
14,32,717,101,109,88,352,96,,
15,25,848,167,109,2,375,75,,
16,44,1655,363,93,56,308,396,,
17,1,70,21,16,81,9,10,,
18,39,1033,201,247,68,195,273,,
19,32,657,170,97,31,448,96,,
20,6,224,47,29,61,78,24,,
21,17,660,109,115,94,136,102,,
22,26,1073,173,132,32,208,78,,
23,22,487,162,136,1,132,44,,
24,15,342,78,94,36,225,135,,
25,14,536,131,92,32,168,112,,
26,13,315,118,59,53,156,26,,
27,44,1776,145,189,14,352,220,,
28,13,519,66,44,60,104,39,,
29,29,1089,105,60,97,232,116,,
30,27,985,121,57,49,135,216,,
31,17,606,120,88,25,153,85,,
32,4,196,23,9,75,48,40,,
33,34,863,241,104,77,204,170,,
34,26,644,123,157,80,156,208,,
35,43,1680,312,176,86,430,215,,
36,17,562,146,91,97,102,34,,
37,30,1216,93,184,65,270,120,,
38,23,531,125,77,70,207,230,,
39,1,66,12,8,15,6,10,,
40,10,308,77,44,88,150,60,,
41,33,1181,102,179,36,165,66,,
42,22,578,116,119,91,242,220,,
43,1,37,13,7,48,14,10,,
44,10,348,40,55,6,100,50,,
45,44,1204,238,230,96,308,220,,
46,11,311,39,57,53,165,55,,
47,18,466,110,94,26,216,126,,
48,20,564,67,106,36,120,120,,
49,23,962,156,93,15,207,92,,
50,38,1076,134,196,94,380,304,,
51,39,1421,253,122,6,429,78,,
52,34,1280,184,79,43,476,238,,
53,43,1018,311,221,52,387,430,,
54,9,270,85,37,73,81,72,,
55,36,749,187,193,75,504,252,,
56,30,1058,247,188,95,210,90,,
57,19,734,144,52,97,152,114,,
58,15,409,47,53,79,90,135,,
59,27,1126,121,142,32,189,54,,
60,49,1164,202,302,7,637,245,,
61,8,290,65,58,41,96,80,,
62,28,1074,128,145,97,224,168,,
63,50,1841,408,208,10,450,250,,
64,18,570,129,57,30,198,72,,
65,46,1210,290,193,60,506,92,,
66,14,496,99,91,62,70,98,,
67,20,676,158,135,29,240,100,,
68,18,635,67,83,87,198,72,,
69,30,769,211,160,73,450,60,,
70,6,277,39,19,34,66,42,,
71,14,506,83,69,54,126,42,,
72,31,664,105,104,9,465,62,,
73,49,1005,197,297,31,343,441,,
74,43,1035,187,185,48,301,129,,
75,50,1279,169,115,40,700,400,,
76,26,690,190,64,99,234,78,,
77,37,809,273,150,65,555,259,,
78,1,74,17,15,59,7,8,,
79,12,459,102,68,56,168,72,,
80,21,582,120,76,60,294,168,,
81,22,481,116,114,46,198,154,,
82,18,729,127,112,11,144,144,,
83,32,1209,272,168,3,192,192,,
84,15,505,94,68,71,195,105,,
85,28,1067,155,117,33,224,84,,
86,47,1252,159,145,28,564,282,,
87,47,1829,339,108,25,423,235,,
88,24,629,90,77,6,120,240,,
89,19,506,118,48,37,228,171,,
90,29,891,96,147,9,319,261,,
91,5,240,42,18,73,45,15,,
92,16,413,116,109,80,128,160,,
93,25,888,144,130,73,350,50,,
94,40,943,327,171,11,280,200,,
95,12,458,49,68,89,168,108,,
96,19,423,105,97,88,152,114,,
97,41,1580,250,250,83,287,246,,
98,10,233,50,72,73,90,90,,
99,8,301,77,41,70,96,72,,
100,6,246,47,41,4,36,30,,
