id,ja,export_begin_date,export_end_date
1,タイタン・金,,
2,スライム・古代,,
3,タイタン,,
4,ウルフ・赤,,
5,サキュバス・赤,,
6,バンパイア・大,,
7,タイタン・黒,,
8,ガーゴイル・小,,
9,ガーゴイル・邪悪,,
10,マジシャン・邪悪,,
11,ウィッチ・小,,
12,ウルフ・邪悪,,
13,マジシャン・赤,,
14,デーモン・黒,,
15,リッチ,,
16,シャーマン・小,,
17,ウィッチ・古代,,
18,ウィッチ・小,,
19,アーチャー・青,,
20,スライム・青,,
21,シャーマン・黒,,
22,ゴブリン・王,,
23,サキュバス・邪悪,,
24,フェニックス・赤,,
25,シャーマン,,
26,スケルトン・古代,,
27,リッチ・大,,
28,デーモン・赤,,
29,ガーゴイル・小,,
30,スライム・金,,
31,ゾンビ・大,,
32,デーモン・青,,
33,スライム・青,,
34,マジシャン・小,,
35,ゾンビ・小,,
36,シャーマン・小,,
37,ドラゴン・赤,,
38,デーモン・青,,
39,バンパイア・黒,,
40,ガーゴイル・赤,,
41,ゾンビ・赤,,
42,リッチ・大,,
43,アーチャー・王,,
44,フェニックス・青,,
45,ドラゴン・小,,
46,バンパイア・黒,,
47,ウィッチ・青,,
48,バンパイア,,
49,デーモン・古代,,
50,タイタン・金,,
51,ガーゴイル・大,,
52,シャーマン・青,,
53,ガーゴイル・邪悪,,
54,ウィッチ・青,,
55,リッチ・黒,,
56,シャーマン・邪悪,,
57,スケルトン・王,,
58,タイタン・黒,,
59,ゾンビ・黒,,
60,ゴブリン・邪悪,,
61,ガーゴイル・黒,,
62,アーチャー・大,,
63,ガーゴイル,,
64,ドラゴン・青,,
65,タイタン・邪悪,,
66,トロール・赤,,
67,トロール・青,,
68,シャーマン,,
69,ドラゴン・黒,,
70,ドラゴン・小,,
71,ガーゴイル・古代,,
72,ウィッチ・金,,
73,アーチャー・小,,
74,ウィッチ・青,,
75,アーチャー・邪悪,,
76,ガーゴイル・青,,
77,ゴブリン・金,,
78,オーク・王,,
79,デーモン・王,,
80,オーク・黒,,
81,トロール・小,,
82,シャーマン・大,,
83,デーモン,,
84,ゴブリン・邪悪,,
85,ゴブリン・古代,,
86,ナイト・邪悪,,
87,マジシャン・大,,
88,ゾンビ・青,,
89,マジシャン・金,,
90,ウルフ・大,,
91,ウルフ・小,,
92,フェニックス・黒,,
93,フェニックス・王,,
94,ガーゴイル・金,,
95,ドラゴン・王,,
96,シャーマン・古代,,
97,シャーマン・古代,,
98,スライム・赤,,
99,デーモン・青,,
100,ウルフ・小,,
