id,quest_id,reward_group_id
1,3,1
2,1,2
3,1,2
4,2,1
5,1,2
6,4,1
7,4,2
8,1,1
9,1,2
10,2,1
11,4,1
12,3,1
13,3,1
14,1,1
15,4,2
16,1,1
17,4,1
18,2,1
19,3,2
20,1,2
21,2,2
22,2,1
23,3,1
24,1,2
25,4,1
26,4,2
27,3,1
28,3,1
29,3,1
30,1,2
31,2,1
32,3,2
33,2,2
34,4,1
35,2,1
36,4,1
37,3,1
38,1,1
39,1,2
40,3,2
41,4,2
42,1,1
43,3,2
44,1,2
45,3,1
46,3,2
47,4,2
48,4,2
49,2,2
50,4,2
51,3,1
52,4,1
53,4,1
54,3,2
55,1,1
56,3,2
57,3,2
58,4,1
59,4,2
60,4,1
61,3,2
62,3,1
63,1,2
64,3,1
65,1,1
66,4,1
67,2,1
68,2,2
69,3,2
70,1,1
71,4,2
72,3,2
73,1,1
74,3,2
75,3,2
76,2,1
77,1,1
78,4,2
79,1,2
80,3,2
81,2,2
82,4,1
83,1,1
84,1,2
85,2,2
86,1,2
87,3,1
88,3,2
89,2,1
90,3,1
91,1,1
92,2,1
93,4,1
94,3,2
95,4,1
96,1,1
97,3,2
98,4,2
99,4,1
100,2,2
