id,event_id,enemy_id,sort_order
1,83,10,8
2,60,88,9
3,45,17,9
4,82,76,3
5,99,17,7
6,65,8,2
7,67,20,5
8,22,21,6
9,91,29,6
10,67,37,2
11,33,26,9
12,36,17,5
13,79,69,2
14,65,83,3
15,76,75,3
16,22,85,10
17,93,78,6
18,73,6,1
19,11,6,10
20,34,84,4
21,99,74,7
22,80,82,1
23,64,81,9
24,38,83,5
25,62,32,7
26,39,59,2
27,89,8,3
28,57,54,8
29,60,27,6
30,78,19,6
31,92,41,6
32,52,17,6
33,66,72,2
34,41,31,8
35,16,35,8
36,32,19,2
37,7,38,7
38,79,54,4
39,21,42,10
40,93,41,4
41,98,21,8
42,66,60,8
43,40,64,1
44,12,51,9
45,59,31,4
46,75,46,1
47,7,37,8
48,77,84,8
49,37,69,1
50,14,56,3
51,34,94,6
52,98,52,6
53,6,52,1
54,73,72,4
55,47,71,5
56,10,50,9
57,58,98,9
58,36,80,10
59,16,17,2
60,51,48,6
61,72,47,3
62,26,78,9
63,52,65,1
64,6,5,3
65,92,43,8
66,67,59,3
67,78,66,3
68,42,79,6
69,21,51,10
70,95,39,10
71,44,65,9
72,69,63,10
73,39,61,1
74,48,43,2
75,54,75,5
76,93,89,1
77,77,61,5
78,84,100,10
79,74,30,1
80,75,62,3
81,68,81,10
82,100,49,3
83,88,32,1
84,74,90,2
85,25,3,8
86,41,54,3
87,53,89,4
88,53,65,10
89,61,95,1
90,91,18,9
91,27,72,6
92,85,62,9
93,49,41,3
94,59,69,6
95,70,46,5
96,79,62,4
97,32,36,9
98,39,29,5
99,99,37,4
100,89,91,8
