id,cost,max_rarity,export_begin_date,export_end_date
1,1000,4,,
2,1500,4,,
3,2000,4,,
4,2000,4,,
5,1000,4,,
6,300,4,,
7,3000,4,,
8,100,3,,
9,1000,5,,
10,500,5,,
11,500,5,,
12,500,3,,
13,3000,5,,
14,1000,4,,
15,100,5,,
16,3000,5,,
17,3000,5,,
18,100,5,,
19,2000,4,,
20,3000,4,,
21,3000,3,,
22,1500,4,,
23,300,5,,
24,300,5,,
25,500,5,,
26,3000,5,,
27,3000,5,,
28,2000,3,,
29,2000,3,,
30,2000,5,,
31,100,4,,
32,3000,4,,
33,100,5,,
34,500,5,,
35,300,3,,
36,500,4,,
37,2000,4,,
38,300,3,,
39,300,5,,
40,500,5,,
41,1500,4,,
42,3000,3,,
43,500,4,,
44,3000,4,,
45,2000,4,,
46,3000,3,,
47,1000,3,,
48,300,3,,
49,3000,5,,
50,2000,5,,
51,1000,5,,
52,500,3,,
53,3000,4,,
54,100,4,,
55,1500,3,,
56,1000,4,,
57,2000,5,,
58,2000,4,,
59,1500,4,,
60,3000,5,,
61,500,3,,
62,2000,3,,
63,1000,3,,
64,1500,5,,
65,500,5,,
66,300,5,,
67,100,5,,
68,3000,4,,
69,2000,4,,
70,2000,4,,
71,100,3,,
72,100,3,,
73,500,4,,
74,100,3,,
75,300,5,,
76,300,4,,
77,1000,4,,
78,2000,5,,
79,2000,5,,
80,1000,5,,
81,2000,5,,
82,300,4,,
83,2000,3,,
84,3000,4,,
85,1500,4,,
86,500,3,,
87,2000,4,,
88,300,4,,
89,1000,3,,
90,3000,4,,
91,100,5,,
92,500,5,,
93,2000,4,,
94,100,4,,
95,500,3,,
96,100,4,,
97,100,5,,
98,300,5,,
99,2000,5,,
100,100,3,,
