id,gacha_id,table_id,record_id,weight,rarity
1,43,1,3,30,1
2,98,3,27,30,2
3,43,1,1,50,2
4,17,3,33,10,1
5,85,1,3,1,3
6,31,3,42,1,2
7,34,1,3,200,5
8,15,3,9,500,4
9,100,2,5,5,4
10,65,1,1,1000,3
11,59,3,4,1,4
12,52,2,1,500,4
13,10,1,6,10,1
14,17,2,5,1000,3
15,49,3,68,50,4
16,65,3,56,5,1
17,84,3,99,1000,2
18,56,2,2,200,3
19,59,2,4,5,3
20,55,2,3,100,2
21,88,2,1,5,1
22,12,2,1,100,2
23,72,1,9,1000,3
24,86,1,7,100,4
25,93,1,5,50,3
26,14,3,65,30,2
27,85,2,2,5,3
28,72,2,1,50,5
29,29,2,5,1000,1
30,78,3,89,50,1
31,24,2,3,100,3
32,1,1,3,200,1
33,19,3,82,1,1
34,96,3,28,200,4
35,59,2,2,100,3
36,93,2,5,5,1
37,20,1,1,5,3
38,57,3,55,500,5
39,57,2,3,30,5
40,15,2,4,5,3
41,87,3,76,500,5
42,86,2,1,30,4
43,77,1,1,30,3
44,28,1,5,50,3
45,16,1,8,200,2
46,17,2,5,30,5
47,72,3,46,5,4
48,95,1,7,1,4
49,10,2,5,200,5
50,52,3,82,200,3
51,15,2,1,100,2
52,80,2,3,5,4
53,14,1,7,200,5
54,11,2,3,100,2
55,43,1,2,1000,1
56,68,3,25,100,3
57,94,3,19,30,1
58,19,2,2,10,5
59,20,3,10,10,4
60,60,3,98,500,5
61,83,3,80,100,3
62,20,2,1,500,4
63,81,2,3,1,3
64,65,1,5,500,4
65,5,1,6,50,1
66,83,1,9,200,4
67,75,3,95,1,4
68,74,3,25,100,5
69,61,3,20,1,4
70,14,2,1,1000,2
71,6,1,8,500,5
72,67,3,21,100,3
73,37,2,4,100,5
74,7,3,83,100,1
75,43,1,9,200,3
76,33,3,85,10,3
77,11,3,85,10,3
78,40,3,90,200,2
79,77,3,11,50,5
80,49,3,43,10,5
81,12,3,86,200,5
82,47,1,6,50,2
83,28,2,4,30,2
84,18,1,2,50,1
85,65,3,95,1000,1
86,85,2,5,10,5
87,49,1,3,10,5
88,22,3,57,1,4
89,47,3,93,30,4
90,79,2,4,30,5
91,31,2,4,30,3
92,87,3,57,500,3
93,100,2,5,1000,4
94,21,1,3,50,1
95,83,2,3,1000,1
96,92,3,16,50,1
97,98,1,5,500,5
98,19,2,1,30,4
99,45,1,7,1,4
100,65,2,2,200,1
