id,recover_stamina,recover_hp,attack,defence,speed,skill_id,selling_price
1,2,,6,3,9,,1143
2,1,,20,16,0,4,1711
3,1,6,16,12,5,,241
4,,17,15,6,7,,166
5,5,,14,19,2,,1642
6,5,,10,2,3,11,1878
7,4,8,14,20,3,,1085
8,,12,24,18,7,,968
9,,,25,12,0,5,107
10,,,11,13,3,,1033
11,5,,20,15,3,,1088
12,,11,29,13,0,,986
13,,0,22,0,7,,1894
14,,15,3,4,7,,1581
15,1,,0,1,7,99,777
16,4,19,13,15,8,14,966
17,2,,9,14,6,,997
18,,,4,0,2,14,1046
19,,,13,5,3,50,582
20,,,22,12,6,84,877
21,2,2,27,16,10,,397
22,2,15,23,20,12,52,1985
23,3,17,26,9,2,,212
24,,,25,1,6,76,1277
25,,1,16,0,3,17,555
26,5,1,21,16,12,,1439
27,,,20,19,0,,1533
28,3,,17,2,13,,65
29,,,29,20,8,33,1297
30,1,,21,2,2,,1495
31,,5,23,15,6,99,1510
32,,,6,15,13,50,1511
33,4,12,22,3,6,84,1326
34,,10,30,20,13,,1026
35,,8,11,7,5,,299
36,4,9,9,15,7,13,983
37,,,9,5,0,75,859
38,,,13,12,3,70,729
39,,5,12,12,13,34,50
40,2,14,16,14,0,50,678
41,2,19,27,3,11,,253
42,,5,1,15,9,,1942
43,,8,24,4,5,,1428
44,,,16,20,13,,1474
45,0,15,3,19,13,12,62
46,,,14,8,12,25,1044
47,,,28,1,5,,1148
48,2,,9,1,2,47,1308
49,,7,3,17,15,,786
50,4,,11,5,3,30,582
51,4,8,10,15,11,30,1849
52,0,,30,17,7,77,1692
53,3,6,23,13,7,92,1600
54,,,29,3,10,,1182
55,,15,30,13,4,,1672
56,,,11,15,8,66,187
57,3,17,3,19,14,,1896
58,,5,3,5,8,15,1986
59,4,,5,9,8,,846
60,,,20,0,15,24,1455
61,0,0,25,13,12,,811
62,,3,26,10,9,,1216
63,,,8,12,3,,1588
64,,,0,4,9,,921
65,,,21,16,4,12,1454
66,,7,24,13,12,,814
67,1,,19,6,12,15,196
68,,,18,11,4,,619
69,,,2,17,2,,852
70,2,,4,16,7,59,1687
71,,13,12,8,11,87,83
72,0,,1,16,3,38,194
73,,,26,13,10,,57
74,,,21,9,9,,1415
75,2,,6,20,0,,975
76,,12,29,1,12,31,1373
77,4,18,7,0,12,63,70
78,,12,11,19,9,,42
79,,12,16,9,0,,758
80,,16,10,12,0,,1403
81,4,,6,0,1,12,1590
82,,,10,8,7,,1616
83,,17,11,11,1,,273
84,,5,1,18,3,65,1214
85,1,6,18,17,5,,822
86,,,0,11,6,31,797
87,,,27,19,15,67,1870
88,,,18,9,5,,34
89,,5,15,3,11,,192
90,0,,7,4,2,,723
91,,,13,15,10,,237
92,5,14,30,20,3,,92
93,,,10,14,13,,925
94,,9,21,14,13,,1077
95,5,,5,5,4,68,1381
96,,,5,11,6,,1816
97,0,,12,11,11,14,1400
98,4,,7,20,1,48,895
99,2,,10,1,1,1,94
100,,1,1,15,5,82,613
