id,ja,export_begin_date,export_end_date
1,闇の力を宿す危険な装備,,
2,王家に伝わる由緒ある装備,,
3,職人の技が光る丁寧な作りの装備,,
4,精霊の加護を受けた装備,,
5,戦場を生き抜いた歴戦の装備,,
6,光り輝く神秘的な装備,,
7,精霊の加護を受けた装備,,
8,竜の素材から作られた強靭な装備,,
9,王家に伝わる由緒ある装備,,
10,光り輝く神秘的な装備,,
11,精霊の加護を受けた装備,,
12,王家に伝わる由緒ある装備,,
13,光り輝く神秘的な装備,,
14,闇の力を宿す危険な装備,,
15,王家に伝わる由緒ある装備,,
16,職人の技が光る丁寧な作りの装備,,
17,職人の技が光る丁寧な作りの装備,,
18,異世界から持ち込まれた謎の装備,,
19,竜の素材から作られた強靭な装備,,
20,王家に伝わる由緒ある装備,,
21,異世界から持ち込まれた謎の装備,,
22,戦場を生き抜いた歴戦の装備,,
23,闇の力を宿す危険な装備,,
24,竜の素材から作られた強靭な装備,,
25,職人の技が光る丁寧な作りの装備,,
26,異世界から持ち込まれた謎の装備,,
27,精霊の加護を受けた装備,,
28,光り輝く神秘的な装備,,
29,王家に伝わる由緒ある装備,,
30,異世界から持ち込まれた謎の装備,,
31,光り輝く神秘的な装備,,
32,光り輝く神秘的な装備,,
33,光り輝く神秘的な装備,,
34,闇の力を宿す危険な装備,,
35,竜の素材から作られた強靭な装備,,
36,光り輝く神秘的な装備,,
37,戦場を生き抜いた歴戦の装備,,
38,光り輝く神秘的な装備,,
39,古代の魔法が込められた装備,,
40,光り輝く神秘的な装備,,
41,伝説の鍛冶師が打ち上げた逸品,,
42,光り輝く神秘的な装備,,
43,精霊の加護を受けた装備,,
44,職人の技が光る丁寧な作りの装備,,
45,竜の素材から作られた強靭な装備,,
46,王家に伝わる由緒ある装備,,
47,古代の魔法が込められた装備,,
48,精霊の加護を受けた装備,,
49,戦場を生き抜いた歴戦の装備,,
50,精霊の加護を受けた装備,,
51,古代の魔法が込められた装備,,
52,王家に伝わる由緒ある装備,,
53,職人の技が光る丁寧な作りの装備,,
54,王家に伝わる由緒ある装備,,
55,竜の素材から作られた強靭な装備,,
56,伝説の鍛冶師が打ち上げた逸品,,
57,伝説の鍛冶師が打ち上げた逸品,,
58,異世界から持ち込まれた謎の装備,,
59,王家に伝わる由緒ある装備,,
60,職人の技が光る丁寧な作りの装備,,
61,異世界から持ち込まれた謎の装備,,
62,職人の技が光る丁寧な作りの装備,,
63,竜の素材から作られた強靭な装備,,
64,伝説の鍛冶師が打ち上げた逸品,,
65,古代の魔法が込められた装備,,
66,伝説の鍛冶師が打ち上げた逸品,,
67,闇の力を宿す危険な装備,,
68,王家に伝わる由緒ある装備,,
69,異世界から持ち込まれた謎の装備,,
70,竜の素材から作られた強靭な装備,,
71,職人の技が光る丁寧な作りの装備,,
72,光り輝く神秘的な装備,,
73,竜の素材から作られた強靭な装備,,
74,光り輝く神秘的な装備,,
75,闇の力を宿す危険な装備,,
76,職人の技が光る丁寧な作りの装備,,
77,精霊の加護を受けた装備,,
78,古代の魔法が込められた装備,,
79,古代の魔法が込められた装備,,
80,古代の魔法が込められた装備,,
81,王家に伝わる由緒ある装備,,
82,戦場を生き抜いた歴戦の装備,,
83,竜の素材から作られた強靭な装備,,
84,異世界から持ち込まれた謎の装備,,
85,竜の素材から作られた強靭な装備,,
86,伝説の鍛冶師が打ち上げた逸品,,
87,戦場を生き抜いた歴戦の装備,,
88,異世界から持ち込まれた謎の装備,,
89,異世界から持ち込まれた謎の装備,,
90,異世界から持ち込まれた謎の装備,,
91,竜の素材から作られた強靭な装備,,
92,闇の力を宿す危険な装備,,
93,戦場を生き抜いた歴戦の装備,,
94,光り輝く神秘的な装備,,
95,戦場を生き抜いた歴戦の装備,,
96,伝説の鍛冶師が打ち上げた逸品,,
97,闇の力を宿す危険な装備,,
98,闇の力を宿す危険な装備,,
99,光り輝く神秘的な装備,,
100,古代の魔法が込められた装備,,
