id,ja,export_begin_date,export_end_date
1,鉄の帽子,,
2,魔法の弓,,
3,神聖な弓,,
4,炎の弓,,
5,古代の剣,,
6,金の弓,,
7,鋼の手袋,,
8,闇の鎧,,
9,金の鎧,,
10,神聖な首飾り,,
11,鋼の手袋,,
12,闇の盾,,
13,神聖な弓,,
14,炎の鎧,,
15,鉄の杖,,
16,銀の靴,,
17,金の帽子,,
18,魔法の鎧,,
19,銀の剣,,
20,魔法の指輪,,
21,呪いの手袋,,
22,金の靴,,
23,神聖な弓,,
24,魔法の盾,,
25,闇の手袋,,
26,鉄の首飾り,,
27,金の鎧,,
28,呪いの剣,,
29,鉄の鎧,,
30,古代の杖,,
31,鉄の首飾り,,
32,闇の靴,,
33,古代の首飾り,,
34,金の盾,,
35,呪いの弓,,
36,銀の弓,,
37,銀の盾,,
38,鉄の杖,,
39,呪いの靴,,
40,鉄の首飾り,,
41,魔法の指輪,,
42,銀の盾,,
43,金の剣,,
44,魔法の盾,,
45,闇の盾,,
46,炎の靴,,
47,闇の盾,,
48,魔法の杖,,
49,鋼の手袋,,
50,金の鎧,,
51,銀の首飾り,,
52,鋼の首飾り,,
53,闇の指輪,,
54,古代の盾,,
55,金の弓,,
56,神聖な鎧,,
57,呪いの杖,,
58,炎の指輪,,
59,神聖な盾,,
60,炎の剣,,
61,銀の弓,,
62,鉄の盾,,
63,金の首飾り,,
64,闇の手袋,,
65,闇の帽子,,
66,炎の靴,,
67,神聖な鎧,,
68,金の手袋,,
69,炎の首飾り,,
70,魔法の手袋,,
71,鋼の剣,,
72,炎の剣,,
73,呪いの靴,,
74,魔法の帽子,,
75,魔法の指輪,,
76,鋼の鎧,,
77,炎の剣,,
78,鋼の首飾り,,
79,炎の首飾り,,
80,炎の帽子,,
81,銀の帽子,,
82,古代の鎧,,
83,金の剣,,
84,炎の剣,,
85,鉄の首飾り,,
86,鉄の靴,,
87,神聖な指輪,,
88,呪いの帽子,,
89,闇の帽子,,
90,古代の帽子,,
91,炎の指輪,,
92,金の盾,,
93,呪いの剣,,
94,鉄の盾,,
95,鋼の弓,,
96,炎の剣,,
97,古代の鎧,,
98,金の杖,,
99,炎の盾,,
100,炎の帽子,,
