id,group_id,name,value1,value2,value3
1,1,perf_0001,655,115,26
2,1,perf_0002,760,282,251
3,1,perf_0003,229,143,755
4,1,perf_0004,105,693,759
5,1,perf_0005,914,559,90
6,1,perf_0006,605,433,33
7,1,perf_0007,31,96,224
8,1,perf_0008,239,518,617
9,1,perf_0009,28,575,204
10,1,perf_0010,734,666,719
11,1,perf_0011,559,430,226
12,1,perf_0012,460,604,285
13,1,perf_0013,829,891,7
14,1,perf_0014,778,826,164
15,1,perf_0015,715,433,349
16,1,perf_0016,285,160,221
17,1,perf_0017,981,782,345
18,1,perf_0018,105,95,390
19,1,perf_0019,100,368,868
20,1,perf_0020,353,619,271
21,1,perf_0021,827,45,748
22,1,perf_0022,471,550,128
23,1,perf_0023,997,945,388
24,1,perf_0024,81,566,301
25,1,perf_0025,850,644,634
26,1,perf_0026,907,883,371
27,1,perf_0027,592,197,722
28,1,perf_0028,72,47,678
29,1,perf_0029,234,792,297
30,1,perf_0030,82,876,239
31,1,perf_0031,888,104,390
32,1,perf_0032,285,465,651
33,1,perf_0033,855,374,167
34,1,perf_0034,380,364,215
35,1,perf_0035,687,274,719
36,1,perf_0036,960,700,664
37,1,perf_0037,74,624,651
38,1,perf_0038,176,547,747
39,1,perf_0039,251,168,474
40,1,perf_0040,389,277,948
41,1,perf_0041,656,705,571
42,1,perf_0042,225,702,333
43,1,perf_0043,864,787,795
44,1,perf_0044,58,235,842
45,1,perf_0045,33,825,324
46,1,perf_0046,411,275,68
47,1,perf_0047,217,936,966
48,1,perf_0048,581,898,736
49,1,perf_0049,323,218,672
50,1,perf_0050,512,406,906
51,1,perf_0051,937,659,470
52,1,perf_0052,147,272,143
53,1,perf_0053,253,763,575
54,1,perf_0054,552,270,765
55,1,perf_0055,599,439,920
56,1,perf_0056,598,409,371
57,1,perf_0057,225,142,522
58,1,perf_0058,506,94,774
59,1,perf_0059,49,882,113
60,1,perf_0060,157,643,164
61,1,perf_0061,812,697,433
62,1,perf_0062,611,66,395
63,1,perf_0063,391,611,480
64,1,perf_0064,542,258,995
65,1,perf_0065,567,882,966
66,1,perf_0066,12,697,739
67,1,perf_0067,118,699,907
68,1,perf_0068,550,769,274
69,1,perf_0069,788,657,349
70,1,perf_0070,115,301,446
71,1,perf_0071,162,465,4
72,1,perf_0072,977,740,897
73,1,perf_0073,737,270,996
74,1,perf_0074,513,781,183
75,1,perf_0075,520,935,109
76,1,perf_0076,892,641,306
77,1,perf_0077,862,655,520
78,1,perf_0078,624,204,157
79,1,perf_0079,383,781,166
80,1,perf_0080,553,977,798
81,1,perf_0081,945,544,941
82,1,perf_0082,1,614,332
83,1,perf_0083,501,20,115
84,1,perf_0084,952,372,900
85,1,perf_0085,852,827,315
86,1,perf_0086,246,60,247
87,1,perf_0087,900,581,970
88,1,perf_0088,81,88,750
89,1,perf_0089,498,836,71
90,1,perf_0090,779,546,785
91,1,perf_0091,129,132,676
92,1,perf_0092,487,970,563
93,1,perf_0093,170,272,541
94,1,perf_0094,894,622,434
95,1,perf_0095,988,217,952
96,1,perf_0096,553,774,748
97,1,perf_0097,707,206,731
98,1,perf_0098,320,409,688
99,1,perf_0099,666,383,449
100,1,perf_0100,922,530,463
