id,group_id,label,score,rank
1,1,group_001,6628,C
2,1,group_002,3288,D
3,1,group_003,2939,A
4,1,group_004,4080,A
5,1,group_005,1428,B
6,1,group_006,6286,D
7,1,group_007,8834,S
8,1,group_008,8026,A
9,1,group_009,6918,D
10,1,group_010,9650,A
11,1,group_011,6137,C
12,1,group_012,3493,A
13,1,group_013,7570,A
14,1,group_014,9298,B
15,1,group_015,1369,D
16,1,group_016,1448,C
17,1,group_017,5193,C
18,1,group_018,708,B
19,1,group_019,9151,S
20,1,group_020,6976,A
21,1,group_021,5949,D
22,1,group_022,1334,C
23,1,group_023,8507,A
24,1,group_024,9930,C
25,1,group_025,850,B
26,1,group_026,2125,A
27,1,group_027,2644,C
28,1,group_028,9765,A
29,1,group_029,8254,A
30,1,group_030,617,S
31,1,group_031,391,A
32,1,group_032,7771,C
33,1,group_033,1339,C
34,1,group_034,1419,A
35,1,group_035,5085,D
36,1,group_036,102,C
37,1,group_037,5411,A
38,1,group_038,8585,C
39,1,group_039,3299,S
40,1,group_040,3474,C
41,1,group_041,4230,D
42,1,group_042,6630,A
43,1,group_043,5806,C
44,1,group_044,924,A
45,1,group_045,9834,A
46,1,group_046,9972,C
47,1,group_047,2047,S
48,1,group_048,1955,A
49,1,group_049,4859,A
50,1,group_050,2920,C
51,1,group_051,2394,A
52,1,group_052,9200,B
53,1,group_053,8187,A
54,1,group_054,4230,S
55,1,group_055,5936,A
56,1,group_056,1196,D
57,1,group_057,4723,S
58,1,group_058,9605,S
59,1,group_059,5538,A
60,1,group_060,6186,C
61,1,group_061,5527,C
62,1,group_062,6333,C
63,1,group_063,6088,D
64,1,group_064,1528,A
65,1,group_065,625,B
66,1,group_066,6540,C
67,1,group_067,3781,B
68,1,group_068,3713,B
69,1,group_069,1742,B
70,1,group_070,3591,A
71,1,group_071,6294,B
72,1,group_072,7188,S
73,1,group_073,7183,C
74,1,group_074,4207,S
75,1,group_075,8253,B
76,1,group_076,5262,C
77,1,group_077,8746,A
78,1,group_078,4217,C
79,1,group_079,4775,C
80,1,group_080,2621,B
81,1,group_081,6218,D
82,1,group_082,7219,A
83,1,group_083,6233,B
84,1,group_084,3248,B
85,1,group_085,80,B
86,1,group_086,4849,A
87,1,group_087,2822,B
88,1,group_088,6837,A
89,1,group_089,6698,B
90,1,group_090,6561,S
91,1,group_091,1850,D
92,1,group_092,8722,A
93,1,group_093,31,D
94,1,group_094,5097,A
95,1,group_095,8384,C
96,1,group_096,3373,B
97,1,group_097,6839,C
98,1,group_098,9191,D
99,1,group_099,9937,B
100,1,group_100,3291,S
101,2,group_101,8497,D
102,6,group_102,7452,A
103,1,group_103,1800,S
104,9,group_104,2041,S
105,2,group_105,6906,S
106,7,group_106,7007,D
107,6,group_107,9248,D
108,6,group_108,3674,C
109,3,group_109,2701,S
110,4,group_110,8966,B
111,4,group_111,885,B
112,10,group_112,4297,A
113,3,group_113,2734,C
114,4,group_114,5853,B
115,1,group_115,8916,B
116,8,group_116,4556,S
117,10,group_117,4782,B
118,6,group_118,7783,S
119,10,group_119,2418,S
