id,first_clear_reward_table_id,first_clear_reward_record_id,quest_reward_group_id
1,1,25,34
2,2,82,19
3,2,81,13
4,2,37,25
5,2,69,6
6,2,83,7
7,2,79,1
8,2,72,7
9,2,18,12
10,2,60,23
11,1,52,12
12,2,61,25
13,2,58,40
14,2,25,38
15,2,34,8
16,1,75,43
17,1,64,19
18,1,57,35
19,2,16,1
20,2,6,1
21,1,75,1
22,1,55,25
23,2,77,21
24,2,16,35
25,1,57,8
26,2,58,14
27,1,86,4
28,2,1,17
29,1,10,4
30,2,23,3
31,2,74,5
32,2,28,45
33,1,83,23
34,2,76,8
35,2,91,2
36,1,43,43
37,1,46,41
38,1,58,31
39,1,59,7
40,1,7,26
41,2,22,48
42,1,100,30
43,2,25,48
44,2,42,2
45,1,39,16
46,2,8,4
47,1,68,40
48,2,82,39
49,1,6,10
50,2,39,19
51,1,98,24
52,1,13,9
53,2,91,18
54,1,88,36
55,1,36,32
56,1,17,36
57,1,54,20
58,2,4,26
59,1,69,25
60,2,50,13
61,1,18,19
62,2,68,27
63,1,32,23
64,2,1,7
65,2,30,48
66,1,77,26
67,2,65,27
68,1,65,34
69,2,27,45
70,1,15,42
71,1,5,33
72,2,2,21
73,1,33,27
74,1,59,14
75,1,99,42
76,1,55,7
77,1,63,23
78,1,83,28
79,2,65,27
80,1,89,10
81,1,3,45
82,2,63,44
83,2,13,38
84,1,86,17
85,1,71,47
86,1,51,16
87,1,59,13
88,2,19,8
89,1,92,48
90,2,9,25
91,1,73,24
92,2,59,8
93,1,22,22
94,2,3,48
95,2,58,22
96,1,94,44
97,2,32,29
98,2,50,8
99,2,69,5
100,1,10,5
