id,group_id,reward_table_id,reward_record_id
1,47,1,42
2,45,2,79
3,49,2,8
4,22,1,20
5,34,1,31
6,1,1,35
7,31,2,22
8,28,2,74
9,13,2,90
10,42,2,98
11,5,1,13
12,14,2,58
13,47,2,3
14,42,2,50
15,2,2,48
16,46,1,98
17,28,2,27
18,17,2,43
19,1,1,40
20,24,2,51
21,9,1,53
22,41,2,9
23,21,2,88
24,29,1,69
25,23,2,61
26,12,1,20
27,3,2,31
28,26,1,40
29,5,2,34
30,5,1,34
31,10,2,80
32,17,2,16
33,29,2,28
34,26,1,17
35,45,1,45
36,32,1,15
37,16,1,62
38,1,1,76
39,44,2,83
40,49,1,7
41,7,2,41
42,36,1,91
43,14,2,89
44,12,1,34
45,29,1,25
46,33,1,68
47,10,1,47
48,45,1,86
49,16,1,54
50,2,1,44
51,25,1,62
52,6,2,13
53,4,2,14
54,32,1,87
55,15,2,25
56,10,1,38
57,34,1,23
58,45,2,80
59,31,1,83
60,42,1,73
61,23,1,97
62,49,1,45
63,27,2,92
64,48,1,15
65,1,2,12
66,22,1,94
67,34,2,85
68,35,2,97
69,20,1,21
70,15,1,84
71,13,2,31
72,36,1,83
73,13,2,61
74,19,2,37
75,32,2,54
76,29,2,87
77,17,1,29
78,17,2,7
79,32,2,52
80,29,1,98
81,9,2,30
82,27,1,88
83,32,2,47
84,26,2,33
85,46,2,18
86,13,1,69
87,25,2,80
88,34,1,58
89,8,1,72
90,29,2,14
91,39,1,53
92,39,2,83
93,48,2,68
94,37,2,16
95,37,1,35
96,5,1,42
97,17,2,31
98,2,1,92
99,10,2,32
100,37,2,41
