group_id,table_id,record_id,price,sort_order
57,3,67,3112,20
16,1,53,6698,11
37,1,1,7013,11
29,1,35,5203,7
3,2,23,8681,16
76,2,23,1990,16
24,3,24,1914,13
52,1,24,1482,16
10,1,60,8582,9
68,2,91,8531,18
75,2,56,6019,14
26,1,19,7606,17
73,1,29,8419,20
30,2,39,7810,6
38,1,97,8697,16
60,2,5,4439,8
15,2,97,1773,6
50,1,27,7571,14
89,3,34,635,18
27,2,12,2368,6
15,3,77,3507,5
34,3,39,5404,2
62,3,35,5425,15
20,3,64,2491,19
23,2,73,7154,3
86,2,81,8813,4
88,1,31,8106,10
94,3,70,4857,18
31,3,53,799,16
89,1,98,525,18
32,1,2,417,4
58,1,53,7364,3
9,1,14,1090,15
77,3,70,4651,9
63,2,43,6449,18
33,3,79,6885,15
40,1,8,906,18
37,3,53,9438,3
91,2,81,9574,18
77,1,27,207,18
92,3,79,1224,8
90,2,69,1604,19
74,2,46,5724,16
15,3,18,212,5
12,2,10,9604,13
82,2,90,8770,10
46,3,86,9909,7
58,3,100,737,13
39,1,10,2355,6
97,1,53,957,18
11,2,51,8220,4
86,1,84,1618,3
90,3,50,9954,12
25,2,26,1983,17
46,3,47,4921,6
56,1,73,2298,14
72,3,97,874,7
54,1,6,5497,10
29,2,7,3640,4
84,2,36,1560,14
22,1,13,3065,19
75,3,3,7243,1
10,1,47,9450,1
52,3,6,6654,6
34,1,3,1588,1
47,3,82,2266,3
59,2,54,3919,11
86,1,88,7476,6
9,2,90,971,2
97,2,23,5757,19
29,1,34,8649,13
79,1,82,6000,18
28,2,16,858,8
60,3,72,7253,1
4,1,96,9950,6
36,3,58,9505,3
37,3,36,2405,1
23,3,92,8614,19
99,2,99,9547,5
98,2,26,7279,8
39,1,75,4376,6
97,3,7,4371,14
97,3,42,2660,13
9,2,17,8012,19
25,1,99,5416,15
50,2,28,740,15
98,1,29,4029,12
69,3,23,4126,14
61,3,25,65,2
79,1,35,9025,4
82,1,22,6269,17
53,1,89,8845,4
65,3,43,1685,17
11,3,39,6890,3
76,3,41,8287,1
45,3,100,8558,15
41,3,94,4873,10
9,2,3,8677,7
17,3,79,9382,12
9,1,4,8902,13
