id,value,skill_value_type_id
1,13,2
2,10,1
3,4,1
4,3,1
5,5,1
6,17,2
7,10,1
8,7,2
9,24,2
10,13,1
11,27,2
12,28,2
13,3,1
14,22,2
15,14,1
16,3,2
17,8,1
18,13,2
19,5,1
20,7,1
21,6,1
22,8,1
23,10,1
24,2,2
25,5,2
26,15,1
27,12,1
28,20,2
29,9,1
30,1,1
31,1,1
32,8,1
33,3,2
34,21,2
35,3,1
36,20,2
37,7,1
38,5,2
39,7,2
40,11,1
41,8,1
42,18,2
43,27,2
44,6,1
45,30,2
46,3,1
47,10,1
48,4,2
49,2,1
50,5,1
51,3,1
52,5,2
53,15,1
54,25,2
55,26,2
56,14,1
57,4,2
58,6,2
59,9,1
60,1,2
61,6,1
62,7,1
63,11,2
64,13,2
65,27,2
66,18,2
67,3,1
68,15,1
69,24,2
70,25,2
71,8,2
72,28,2
73,11,1
74,4,2
75,7,2
76,7,1
77,15,2
78,15,1
79,14,2
80,3,2
81,30,2
82,26,2
83,18,2
84,15,1
85,14,2
86,14,2
87,5,1
88,22,2
89,7,2
90,11,2
91,6,1
92,11,1
93,23,2
94,28,2
95,15,1
96,13,1
97,22,2
98,24,2
99,7,1
100,22,2
