id,ja,export_begin_date,export_end_date
1,攻撃力4上昇,,
2,攻撃力17%上昇,,
3,全能力6上昇,,
4,防御力9上昇,,
5,HP18上昇,,
6,防御力1上昇,,
7,速度3%上昇,,
8,攻撃力14%上昇,,
9,速度18上昇,,
10,防御力4上昇,,
11,HP6上昇,,
12,HP11上昇,,
13,防御力15%上昇,,
14,HP18上昇,,
15,速度9%上昇,,
16,速度15%上昇,,
17,防御力16上昇,,
18,全能力6上昇,,
19,スタミナ8%上昇,,
20,スタミナ1上昇,,
21,速度16%上昇,,
22,速度1%上昇,,
23,全能力1上昇,,
24,HP9上昇,,
25,防御力19%上昇,,
26,HP2%上昇,,
27,速度17%上昇,,
28,スタミナ10%上昇,,
29,HP2%上昇,,
30,防御力7上昇,,
31,HP6%上昇,,
32,速度12上昇,,
33,スタミナ7%上昇,,
34,全能力12%上昇,,
35,全能力4%上昇,,
36,防御力5%上昇,,
37,攻撃力17%上昇,,
38,防御力12上昇,,
39,スタミナ20%上昇,,
40,速度2%上昇,,
41,全能力14上昇,,
42,速度6%上昇,,
43,防御力16%上昇,,
44,防御力13%上昇,,
45,防御力19%上昇,,
46,全能力20上昇,,
47,防御力6%上昇,,
48,速度9上昇,,
49,スタミナ2上昇,,
50,攻撃力10上昇,,
51,防御力1%上昇,,
52,スタミナ10上昇,,
53,攻撃力16上昇,,
54,攻撃力2上昇,,
55,防御力20上昇,,
56,速度11上昇,,
57,HP9%上昇,,
58,スタミナ5%上昇,,
59,速度13%上昇,,
60,スタミナ8上昇,,
61,スタミナ14%上昇,,
62,防御力8%上昇,,
63,防御力19上昇,,
64,HP1%上昇,,
65,防御力5%上昇,,
66,全能力10%上昇,,
67,速度6%上昇,,
68,防御力1上昇,,
69,スタミナ13%上昇,,
70,攻撃力6上昇,,
71,速度14%上昇,,
72,HP20%上昇,,
73,速度17%上昇,,
74,防御力19%上昇,,
75,防御力4上昇,,
76,スタミナ7上昇,,
77,防御力16%上昇,,
78,防御力9%上昇,,
79,全能力17%上昇,,
80,防御力8%上昇,,
81,全能力14%上昇,,
82,スタミナ18上昇,,
83,防御力9%上昇,,
84,スタミナ11上昇,,
85,防御力4上昇,,
86,攻撃力14%上昇,,
87,速度7%上昇,,
88,全能力10%上昇,,
89,速度9%上昇,,
90,スタミナ17%上昇,,
91,防御力12上昇,,
92,防御力12%上昇,,
93,防御力10上昇,,
94,防御力15上昇,,
95,攻撃力12%上昇,,
96,防御力20%上昇,,
97,HP1%上昇,,
98,速度13上昇,,
99,スタミナ5%上昇,,
101,攻撃力1%上昇,,
