id,area_id,stage_order,stamina_cost,export_begin_date,export_end_date
1,8,3,18,,
2,5,10,16,,
3,24,5,27,,
4,83,14,14,,
5,49,15,30,,
6,49,13,5,,
7,88,18,7,,
8,84,12,6,,
9,23,18,15,,
10,68,5,26,,
11,29,1,27,,
12,3,10,17,,
13,87,18,16,,
14,69,13,29,,
15,30,8,17,,
16,45,5,11,,
17,25,4,4,,
18,85,14,22,,
19,99,1,10,,
20,27,3,6,,
21,77,2,17,,
22,77,2,10,,
23,95,2,15,,
24,57,8,20,,
25,28,2,7,,
26,65,10,10,,
27,94,19,13,,
28,74,20,27,,
29,87,11,10,,
30,39,5,24,,
31,67,8,16,,
32,39,9,4,,
33,72,19,26,,
34,23,14,20,,
35,64,2,14,,
36,83,13,28,,
37,68,11,25,,
38,54,14,7,,
39,39,13,8,,
40,97,18,18,,
41,31,8,12,,
42,91,5,28,,
43,60,2,20,,
44,53,14,20,,
45,68,5,15,,
46,32,9,9,,
47,43,3,17,,
48,48,3,20,,
49,93,7,4,,
50,35,13,24,,
51,78,20,4,,
52,10,7,28,,
53,98,19,26,,
54,86,18,9,,
55,62,7,30,,
56,43,10,3,,
57,28,7,26,,
58,16,16,10,,
59,90,20,25,,
60,27,13,10,,
61,71,11,27,,
62,37,13,17,,
63,69,12,12,,
64,34,12,19,,
65,64,15,6,,
66,93,16,27,,
67,41,7,14,,
68,41,14,4,,
69,73,8,26,,
70,19,1,11,,
71,71,19,21,,
72,93,14,12,,
73,20,7,13,,
74,30,13,21,,
75,32,16,20,,
76,84,11,11,,
77,98,16,26,,
78,83,16,17,,
79,22,12,8,,
80,18,18,18,,
81,24,18,23,,
82,8,17,4,,
83,10,2,27,,
84,1,14,7,,
85,81,8,5,,
86,91,5,3,,
87,28,17,17,,
88,48,2,22,,
89,82,20,18,,
90,85,16,3,,
91,1,18,20,,
92,53,1,3,,
93,68,9,20,,
94,37,1,19,,
95,90,14,28,,
96,23,4,6,,
97,68,5,10,,
98,25,20,19,,
99,33,12,11,,
100,51,3,14,,
