id,stage_id,enemy_id,pos_x,pos_y,level_override
1,52,59,1157,498,90
2,29,39,1400,165,84
3,84,98,64,191,52
4,49,49,1131,974,8
5,82,2,1439,350,11
6,64,56,1320,678,73
7,13,68,1882,87,30
8,28,89,1817,973,35
9,6,10,1401,574,70
10,73,85,67,367,41
11,3,27,1202,295,97
12,92,51,1902,157,39
13,21,73,492,796,87
14,70,43,786,286,89
15,93,11,1025,708,7
16,13,56,475,155,44
17,78,99,1257,812,100
18,42,4,1298,559,58
19,63,30,728,768,56
20,24,88,1199,778,11
21,99,80,604,504,92
22,10,11,548,315,49
23,92,82,315,797,41
24,47,14,187,10,40
25,57,47,1559,552,14
26,17,12,383,882,58
27,72,72,1049,835,14
28,4,12,724,190,77
29,77,42,1768,788,2
30,38,53,794,173,93
31,72,32,1171,1067,22
32,88,49,347,284,35
33,39,35,1009,298,9
34,22,56,565,862,39
35,62,10,739,515,32
36,93,81,1015,400,59
37,14,18,623,13,51
38,43,80,778,674,57
39,43,56,1670,278,39
40,42,78,1423,411,62
41,41,23,815,653,38
42,95,89,1296,1005,74
43,32,42,770,574,51
44,47,15,1908,409,76
45,70,24,1396,55,94
46,60,91,429,897,38
47,89,9,1677,837,87
48,64,18,1297,620,31
49,33,85,315,866,49
50,10,58,1224,981,75
51,52,69,1037,856,70
52,5,47,1436,174,14
53,99,32,1346,727,22
54,83,79,90,818,97
55,43,56,216,21,13
56,34,29,1045,1062,72
57,75,89,1178,452,58
58,48,51,948,1024,20
59,45,4,988,214,38
60,54,11,237,290,45
61,40,44,932,423,67
62,62,45,975,199,57
63,93,90,926,653,9
64,39,6,1659,235,3
65,44,83,223,336,95
66,32,67,357,327,43
67,72,55,946,474,52
68,81,24,381,885,51
69,4,95,1257,404,58
70,76,55,796,9,91
71,28,27,570,128,74
72,14,69,382,749,42
73,26,59,233,537,86
74,63,68,1308,641,77
75,50,79,803,233,45
76,46,59,1264,353,87
77,91,39,1881,173,87
78,18,41,241,488,40
79,15,24,764,289,66
80,50,54,1221,282,74
81,50,55,380,996,82
82,69,89,1882,354,72
83,22,63,591,287,24
84,41,58,1268,109,46
85,2,63,279,399,50
86,72,65,1337,1013,53
87,88,63,851,909,63
88,22,11,1157,63,98
89,29,38,66,562,29
90,69,37,344,936,73
91,96,99,1568,1014,71
92,66,15,1172,233,35
93,100,70,1686,751,70
94,97,6,1556,903,70
95,28,55,209,506,39
96,5,58,538,713,12
97,57,16,1588,485,27
98,95,76,1411,718,91
99,79,81,876,339,79
100,18,27,1666,423,8
