id,attack,speed,skill_id,selling_price,export_begin_date,export_end_date
1,28,13,,5059,,
2,25,48,,1550,,
3,95,47,85,7832,,
4,143,25,,6747,,
5,86,47,69,764,,
6,166,17,,3878,,
7,136,46,,7710,,
8,62,4,,1551,,
9,133,42,25,3813,,
10,200,14,40,5511,,
11,7,7,53,5187,,
12,88,24,31,7767,,
13,49,11,,9177,,
14,46,29,,2232,,
15,183,46,61,9698,,
16,159,48,,1392,,
17,70,4,90,4370,,
18,81,21,,1474,,
19,158,27,64,8076,,
20,22,31,,5921,,
21,36,18,,9261,,
22,113,31,82,4634,,
23,19,16,94,5921,,
24,112,21,72,163,,
25,14,23,26,8110,,
26,88,31,68,6744,,
27,73,42,85,4158,,
28,52,35,,5770,,
29,119,38,2,888,,
30,147,7,33,3079,,
31,127,14,53,2090,,
32,113,13,,3469,,
33,136,2,29,7799,,
34,149,31,99,3455,,
35,113,2,,4574,,
36,28,28,,9096,,
37,105,21,,2334,,
38,116,10,,8879,,
39,190,4,92,4516,,
40,195,45,,9180,,
41,22,27,31,455,,
42,134,29,,5927,,
43,114,44,53,8333,,
44,188,15,,2325,,
45,151,49,37,8936,,
46,137,44,84,4480,,
47,143,45,,7871,,
48,146,2,,2091,,
49,137,39,,9874,,
50,15,41,90,5045,,
51,23,15,84,1616,,
52,128,46,33,553,,
53,25,44,,9072,,
54,41,32,,5550,,
55,111,48,,1121,,
56,21,37,75,9483,,
57,31,31,,4880,,
58,59,50,80,6579,,
59,191,2,19,5615,,
60,128,47,,596,,
61,38,17,76,8773,,
62,190,22,13,877,,
63,149,40,85,7576,,
64,81,18,34,7935,,
65,30,43,,3877,,
66,34,47,18,5457,,
67,6,29,,9200,,
68,48,41,96,4299,,
69,28,34,,388,,
70,19,42,,6787,,
71,155,48,43,3467,,
72,66,16,47,7845,,
73,145,33,,1211,,
74,146,2,,6554,,
75,135,40,,5218,,
76,81,20,52,4617,,
77,27,40,81,2443,,
78,78,23,,2426,,
79,24,19,,7453,,
80,138,9,,2285,,
81,198,23,29,6977,,
82,165,25,98,4403,,
83,74,31,55,728,,
84,70,26,,8487,,
85,171,20,,1674,,
86,181,38,,3630,,
87,189,23,22,4847,,
88,81,48,,3305,,
89,199,20,,8676,,
90,22,36,98,3563,,
91,110,9,,9658,,
92,187,18,,9796,,
93,112,49,55,6624,,
94,158,19,,5262,,
95,24,44,54,7286,,
96,15,30,58,7953,,
97,156,37,,3907,,
98,36,24,,1705,,
99,162,41,,4306,,
100,182,14,43,8592,,
