id,ja,export_begin_date,export_end_date
1,闇の短剣,,
2,銀のハンマー,,
3,氷の杖,,
4,炎の双剣,,
5,魔法の鎌,,
6,闇の槍,,
7,光の弓,,
8,呪われた斧,,
9,鋼の斧,,
10,氷の刀,,
11,金の大斧,,
12,呪われたハンマー,,
13,秘宝の大斧,,
14,光の槍,,
15,光のハンマー,,
16,呪われた杖,,
17,銀の槍,,
18,雷の弓,,
19,炎の剣,,
20,金の魔杖,,
21,雷の大斧,,
22,雷の双剣,,
23,銀の鎌,,
24,光の弓,,
25,魔法の弓,,
26,秘宝の大斧,,
27,魔法の槍,,
28,秘宝の鎌,,
29,闇の弓,,
30,魔法の刀,,
31,闇の短剣,,
32,鋼の大斧,,
33,呪われたハンマー,,
34,呪われた弩,,
35,竜骨の剣,,
36,銀の斧,,
37,神聖な短剣,,
38,古代の杖,,
39,炎の槍,,
40,鋼の短剣,,
41,古代の槍,,
42,闇の大斧,,
43,雷の投げナイフ,,
44,魔法の双剣,,
45,銀の斧,,
46,鉄の刀,,
47,氷のハンマー,,
48,金の刀,,
49,金の斧,,
50,雷の刀,,
51,鋼の双剣,,
52,古代の短剣,,
53,金の大剣,,
54,闇の剣,,
55,神聖なハンマー,,
56,秘宝の槍,,
57,竜骨の魔杖,,
58,雷のハンマー,,
59,光の鎌,,
60,鉄の刀,,
61,魔法の槍,,
62,氷の魔杖,,
63,氷の大斧,,
64,神聖な魔杖,,
65,神聖な大剣,,
66,神聖な魔杖,,
67,鋼の槍,,
68,銀の弩,,
69,鋼の双剣,,
70,鋼の弩,,
71,呪われた双剣,,
72,銀の槍,,
73,鋼の魔杖,,
74,金の刀,,
75,鉄の鎌,,
76,竜骨の投げナイフ,,
77,光の投げナイフ,,
78,闇のハンマー,,
79,鉄のハンマー,,
80,秘宝の斧,,
81,雷の槍,,
82,闇の魔杖,,
83,金の剣,,
84,竜骨の斧,,
85,鋼の短剣,,
86,氷のハンマー,,
87,秘宝の刀,,
88,呪われた弩,,
89,呪われた鎌,,
90,秘宝の剣,,
91,神聖な槍,,
92,魔法の魔杖,,
93,光の弓,,
94,銀の弩,,
95,銀の弓,,
96,鉄の弩,,
97,光の杖,,
98,鋼の剣,,
99,光の魔杖,,
100,炎の短剣,,
